id,created_at,text,retweets,favorites
1225033833474600965,2020-02-05 12:30:00,"b'There is a poverty that we must accept, that of our own being, and a poverty that we must seek instead - a concrete one - from the things of this world, in order to be free and to be able to love. #GeneralAudience #Beatitudes'",2989,16875
1224689098494967809,2020-02-04 13:40:09,"b'The Document on Human Fraternity, signed one year ago, has written a new page in the dialogue between religions and people of good will. As brothers and sisters, we want to say ""no"" to violence, and together promote peace, life, and religious freedom.'",2304,12421
1224662496344268801,2020-02-04 11:54:26,"b'Brothers and sisters, in moments when we are far from God, it would do us good to hear this voice in our heart: ""My son, my daughter, what are you doing? Please, don\'t kill yourself. I died for you.""  #HomilySantaMarta'",4579,24728
1224309056128479232,2020-02-03 12:30:00,"b'Loneliness is not overcome by closing in on ourselves, but by crying out to the Lord, for the Lord hears the cry of those who find themselves alone.'",7619,37616
1223946669294645249,2020-02-02 12:30:00,"b'The #GospeloftheDay (Lk 2:22-40), for the Feast of the Presentation of the Lord, shows us the amazement of Mary, Joseph, Simeon and Anne at what was happening before their eyes. The ability to be amazed makes our encounter with the Lord fruitful.'",2409,14528
1223916469592805376,2020-02-02 10:30:00,b'Today we celebrate the #WorldDayforConsecratedLife. Let us pray for consecrated men and women who dedicate themselves to God and to their brothers and sisters through daily service: may they be ever faithful witnesses of Christ\xe2\x80\x99s love. https://t.co/W7o8QHfIFW',2144,12087
1223659779425308672,2020-02-01 17:30:00,"b'Whoever keeps their gaze fixed on Jesus learns to live in order to serve. They do not wait for others to start, but set out to seek their neighbor. #ConsecratedLife'",3516,20762
1223242578923008000,2020-01-31 13:52:12,"b'May the Lord give us the grace to send us a prophet always - be they a friend, our confessor, our child, our mother - who warns us when we are slipping into a feeling that everything seems legitimate because we have lost our sense of sin. #HomilySantaMarta'",4606,25846
1223191718079672321,2020-01-31 10:30:06,"b'May the holiness of Saint #JohnBosco, who we remember today as a father and teacher to youth, be a guide, especially to you dear young people, in achieving your future projects, as you welcome the plan that God has for each of us.'",3252,18313
1222850064651038722,2020-01-30 11:52:29,"b'""The measure with which you measure will be measured out to you."" (Mk 4:24). Let us ask the Lord for the grace to not fear the cross, let us ask for the capacity to feel humiliated, because this is the path He has chosen for us to be saved. #HomilySantaMarta'",3369,18767
1222497118868267008,2020-01-29 12:30:00,"b'The Beatitudes are the ""identity card"" of a Christian. They are not about the joy that passes, but about happiness that knows how to live side by side with suffering. #GeneralAudience'",3542,19443
1222114881370980353,2020-01-28 11:11:08,"b'The Gospel will not go forward with boring, bitter evangelizers. No. It will only go forward with joyful evangelizers, full of life. #HomilySantaMarta'",3931,23470
1221742143049363456,2020-01-27 10:30:00,"b'If we lose our memory, we destroy our future. May the anniversary of the Holocaust, the unspeakable cruelty that humanity learned of 75 years ago, serve as a summons to pause, to be still and to remember. We need to do this, lest we become indifferent. #DayofMemory'",6616,32002
1221417504926359553,2020-01-26 13:00:00,"b'God\xe2\x80\x99s Word consoles and encourages us, it challenges us, frees us from the bondage of our selfishness and summons us to conversion; because it has the power to change our lives and to lead us out of darkness into the light. #SundayoftheWordofGod'",2835,14499
1221413728387657728,2020-01-26 12:45:00,"b'Let us make room for the Word of God!  Each day, let us read a verse or two of the Bible.  We will discover that God is close to us, that He dispels our darkness and, with great love, leads our lives into deep waters. #SundayoftheWordofGod'",3037,16425
1221409953182674944,2020-01-26 12:30:00,"b'We need God\xe2\x80\x99s Word: so that we can hear, amid the thousands of other words in our daily lives, that one Word that speaks to us not about things, but about life. #SundayoftheWordofGod\nhttps://t.co/jQqOkpPvg8'",1675,9079
1221407099315531776,2020-01-26 12:18:39,"b'The Lord gives you his Word, so that you can receive it like a love letter he has written to you, to help you realize that he is at your side. #SundayoftheWordofGod'",4424,23944
1221123063724396549,2020-01-25 17:30:00,"b'From this Week of Prayer for #ChristianUnity we want to learn to be more hospitable, in the first place among ourselves as Christians, and among our brothers and sisters of different confessions. Hospitality belongs to the tradition of Christian communities and families.'",2231,12508
1221047565837168641,2020-01-25 12:30:00,"b'The Bible is the great love story between God and humanity. At its centre stands Jesus, whose own story brings to fulfilment both God\xe2\x80\x99s love for us and our love for God.'",5487,31820
1220975533456084993,2020-01-25 07:43:46,"b'Envy and jealousy are seeds that generate war. Let us ask for the grace to have a transparent heart, like that of David, a transparent heart that seeks justice and peace. #SantaMarta'",4083,20551
1220668281184555008,2020-01-24 11:22:51,"b'This year I want to dedicate World Communications Day to the theme of storytelling. In order not to get lost, we must make the truth of good stories our own. Stories that build up and help us find our roots and the strength to move forward together. https://t.co/sGHsqR8aeR'",3238,17175
1220322790525603840,2020-01-23 12:30:00,"b'Ecumenical hospitality requires a willingness to listen to other Christians, paying attention to their personal stories of faith and to the history of their community.'",2772,17264
1219975502666129411,2020-01-22 13:30:00,"b'Working together to practice hospitality, especially towards those whose lives are most vulnerable, will make us better human beings, better disciples, and a more united Christian people. #General Audience'",3329,19245
1219960402068615168,2020-01-22 12:30:00,"b'This year, the Week of Prayer for Christian Unity is dedicated to the theme of hospitality. #GeneralAudience'",1919,12497
1219595207353806848,2020-01-21 12:18:51,"b'Through Baptism, we Christians are all anointed by the election of the Lord, and this is a pure gift. Today let us ask the Holy Spirit to be able to preserve this gift with faithfulness. This is Christian holiness. #HomilySantaMarta'",3095,19320
1219231836385222656,2020-01-20 12:14:56,"b'Being Christian does not mean defending yourself with an ideology in order to move forward. To be Christian is to be free, because we have confidence, because we are docile to the Word of the Lord. #HomilySantaMarta'",4769,27764
1218876862119784448,2020-01-19 12:44:24,"b'Let us pause at #GospelofToday (John 1,29-34), perhaps even contemplating an icon of Christ, Son of God made lamb, to free us from evil. Yes, we are still poor sinners but not slaves, no, but children, children of God!'",3155,19831
1218510851562295296,2020-01-18 12:30:00,"b'Whoever has faith feels a great need for God and, in our own smallness, we surrender ourselves, trusting fully in Him.'",5697,33698
1218129419170189312,2020-01-17 11:14:19,"b'Jesus looks at the paralytic and focuses on what is essential: ""Your sins are forgiven"". Physical health is a gift that we must preserve but the Lord teaches us that we must also preserve the health of the heart, spiritual health. #HomilySantaMarta'",4154,24611
1217784260565839872,2020-01-16 12:22:47,"b'The Lord has so much compassion, He involves Himself in our problems. Let us often repeat this simple prayer: Lord, I am a sinner, have mercy on me, have compassion for me. #HomilySantaMarta'",5520,30146
1217423687428628480,2020-01-15 12:30:00,b'May the Holy Spirit revive in each of us the call to be courageous and joyful evangelizers. #GeneralAudience',3891,24542
1217023948136898561,2020-01-14 10:01:35,"b'Jesus had authority because there was consistency in what he taught and what he did, in how he lived. Authority is seen in this: consistency and witness. #HomilySantaMarta'",4138,25216
1216698911160586240,2020-01-13 12:30:00,"b'In the Christian life, it is not enough to be knowledgeable: unless we step out of ourselves, unless we worship, we cannot not know God. Christian life is a love story with God.'",4959,28865
1216336523911712768,2020-01-12 12:30:00,"b'On the Feast of the #BaptismoftheLord, we rediscover our Baptism. Just as Jesus is the Father\xe2\x80\x99s beloved Son, we too, reborn by water and the Holy Spirit, know that we are beloved children of God, brothers and sisters among many other brothers and sisters.'",3744,22082
1215989234772766720,2020-01-11 13:30:00,"b'In worship, we make it possible for the Lord to transform us by His love, to kindle light amid our darkness, to grant us strength in weakness and courage amid trials.'",3824,21465
1215974135999762433,2020-01-11 12:30:00,"b'Worship means going to Jesus without a list of petitions, but with one request alone: to abide with Him.  In worship, we allow Jesus to heal and change us.'",6232,35184
1215611748767739905,2020-01-10 12:30:00,"b'Worship means bending low before the Most High and to discover in His presence that life\xe2\x80\x99s greatness does not consist in having, but in loving.'",3836,20864
1215596649160105990,2020-01-10 11:30:00,"b'In worship, we learn to reject what should not be worshiped: the god of money, the god of consumerism, the god of pleasure, the god of success, the god of self.'",5555,30258
1215249360595742730,2020-01-09 12:30:00,b'Hope is not utopian and peace is a good that can always be attained. https://t.co/RQSL5qc1r8',1963,11785
1215227899890085889,2020-01-09 11:04:43,"b""If we have no peace in our hearts, how can we think there will be peace in the world?  Let's try to remain in the Lord, and the way to do so is to love, and to love in little things. #HomilySantaMarta""",6609,32178
1214886972847603712,2020-01-08 12:30:00,"b'Worship means bringing our lives to the Lord, and allowing Him enter into them. It means letting His consolation come down to earth, and letting ourselves be pervaded by His tender love.'",3747,21250
1214871873210609665,2020-01-08 11:30:00,"b'Worship involves making an exodus from the greatest form of bondage: slavery to oneself. Worship means putting the Lord at the centre, not ourselves.'",4047,24233
1214505750615248897,2020-01-07 11:15:10,"b'So many people live without knowing what goes on in their hearts. We ask for the grace to remain in the Lord and to distinguish the Spirit of God from the spirit of the world, so that our heart may be the meeting point between God and us. #HomilySantaMarta'",4306,22809
1214494385347289088,2020-01-07 10:30:00,"b""I address a special thought to the brothers of the Eastern Churches, Catholic and Orthodox, who today celebrate the Lord's Christmas. To all I wish the light and peace of Christ the Saviour.""",3130,23057
1214177296665333760,2020-01-06 13:30:00,"b'In worshiping, we too will discover, like the Magi, the meaning of our journey. And like the Magi, we too will experience \xe2\x80\x9ca great joy\xe2\x80\x9d (Mt 2:10).'",2476,15734
1214162196734849024,2020-01-06 12:30:00,b'Worship means concentrating on what is essential: ridding ourselves of useless things and addictions that anesthetize the heart and confound the mind.',4787,26895
1214147096388997121,2020-01-06 11:30:00,"b'The #GospelOfTheDay (Mt 2:1-12) teaches us that, when we do not worship God, we end up worshiping ourselves. This is a grave risk: we use God instead of serving Him.'",2885,15302
1213799808881684481,2020-01-05 12:30:00,"b'This is the meaning of Christmas. If the Lord continues to come among us and give us the gift of His Word, it is so that each of us can respond to this call: to become saints in love. #Angelus'",3727,24748
1213437420181630976,2020-01-04 12:30:00,b'We must believe that others need peace just as much as we do. Peace will not be obtained unless it is hoped for. Let us ask the Lord for the gift of peace!',8440,44195
1213082739894890496,2020-01-03 13:00:37,b'Salvation is in the name of Jesus. We must testify to this: He is the only Saviour.',5721,34411
1213059932800475136,2020-01-03 11:30:00,"b'\xe2\x80\x9cCome to me, all you who labour and are burdened, and I will give you rest\xe2\x80\x9d (Mt 11:28). Message for the XXVIII World Day of the Sick https://t.co/8d2uDXZAbq'",2605,15648
1212754168445906944,2020-01-02 15:15:00,b'https://t.co/MSxotMPlTi',2255,9756
1212727744892551169,2020-01-02 13:30:00,b'Let us ask for the grace to live this year with the desire to take others to heart and to care for them.',6868,38103
1212712645226377217,2020-01-02 12:30:00,"b'Jesus, newly born, was mirrored in the face of His mother. From her, He received His first caresses; with her, He exchanged the first smiles. With her began the revolution of tenderness. The Church, looking at the Baby Jesus, is called to continue that revolution.'",3176,22132
1212380456836063234,2020-01-01 14:30:00,"b'May Mary, Mother of the Prince of Peace and Mother of all the peoples of the earth, accompany and sustain us at every step of our journey of reconciliation. https://t.co/xlB9PkSqP5'",2640,17425
1212365356041474048,2020-01-01 13:30:00,"b'Today we invoke the Mother of God, who gathers us together as a people of believers. O Mother, give birth to hope within us and bring us unity. Woman of salvation, to you we entrust this year. Keep it in your heart. https://t.co/Fx9Tn14DuB'",2443,14839
1212350256656064514,2020-01-01 12:30:00,"b'In the womb of a woman, God and mankind are united, never to be separated again. In God, there will forever be our humanity and Mary will forever be the Mother of God.'",3371,21523
1212335157065244673,2020-01-01 11:30:00,"b'Let us begin the year in the sign of Our Lady, the woman who wove the humanity of God. The rebirth of humanity began with woman. If we want to weave humanity into the webs of our day, we must begin again with woman.'",7101,38835
1212039458750513152,2019-12-31 15:55:00,"b'Let us give thanks to God for His grace, which has sustained us in this past year, and with joy let us raise a song of praise to Him. https://t.co/8nPzsaSkIn'",3133,15678
1211987869381931008,2019-12-31 12:30:00,"b'It is beautiful to stand before the nativity scene, and there to entrust our lives to the Lord, to speak to Him about the people and situations we care about, to take stock with Him of the year that is ending, to share our expectations and concerns. #Nativityscene'",3985,23983
1211625482321424384,2019-12-30 12:30:00,"b'In its genuine simplicity, the nativity scene reminds us it is not the quantity of things that counts in life, but the quality of relationships. Drawing our gaze to God, who is poor in possessions and rich in love, it recalls us to what is essential. #Nativityscene'",5365,28081
1211263093675876353,2019-12-29 12:30:00,"b'Today, let us entrust to the Holy Family all the world\xe2\x80\x99s families, especially those tried by suffering or by discomfort, and let us invoke divine protection on them.'",6342,35950
1210900705889964039,2019-12-28 12:30:00,"b'Bethlehem means ""house of bread."" The nativity scene we set up at home reminds us that Jesus is the bread of life: He is the one who nourishes our love, He is the one who gives our families the strength to go on and to forgive us. #Nativityscene'",5462,31668
1210538318796115968,2019-12-27 12:30:00,"b'The nativity scene reminds us how important it is to stop and contemplate. Because only when we recollect ourselves can we embrace what counts in life. Only if we leave the noise of the world outside can we open ourselves to listening to God, who speaks in silence. #Nativityscene'",5226,28127
1210184642705461249,2019-12-26 13:04:37,"b'Today we celebrate the feast of St Stephen, the first martyr. This young servant of the Gospel, filled with the Holy Spirit, knew how to speak about Jesus in word, and above all with his life.'",4215,28725
1209805991891656705,2019-12-25 12:00:00,"b'May Emmanuel bring light to all the suffering members of our human family.May He soften our often stony and self-centred hearts,and make them channels of His love.On this joyful day,may He bring His tenderness to all and brighten the darkness of this world.https://t.co/3QmmsbfoiR'",5902,26719
1209789634172997633,2019-12-25 10:55:00,b'To listen to the Urbi et Orbi https://t.co/DO7vO1kEeT',729,3429
1209760696709156864,2019-12-25 09:00:01,"b'Today is the right day to draw near to the tabernacle, the cr\xc3\xa8che, the manger, and to say thank you. Let us receive the gift that is Jesus, in order then to become gift like Jesus. To become gift is to give meaning to life. https://t.co/JETyIn5xNm'",3387,18130
1209613473455517698,2019-12-24 23:15:00,"b'Dear brother, dear sister, if your hands seem empty, if you think your heart is poor in love, this night is for you. The grace of God has appeared to shine forth in your life. Accept it and the light of Christmas will shine forth in you.'",14730,63916
1209609698288132097,2019-12-24 23:00:00,"b""Tonight, in the beauty of God's love, we also discover our own beauty, for we are beloved of God. In His eyes we are beautiful: not for what we do but for what we are. https://t.co/5Xeu4VXUP3""",1932,9581
1209605923569750017,2019-12-24 22:45:00,"b'Tonight the love of God has been revealed to us. In Jesus, the Most High made Himself small, so that we might love Him. In Jesus, God made Himself a Child, so that we might embrace Him.'",6073,30310
1209447378979377153,2019-12-24 12:15:00,"b'I hope that setting up a nativity scene may be an opportunity for you to invite Jesus into your life. Because if He inhabits it, life is reborn. And it really is Christmas. #Nativityscene'",4873,26739
1209443607964504065,2019-12-24 12:00:01,"b'The nativity scene is like a living Gospel: it brings the Gospel into homes, schools, workplaces and meeting spaces, hospitals and nursing homes, prisons and town squares. #Nativityscene'",2632,15210
1209088766889123841,2019-12-23 12:30:00,"b'The nativity scene reminds us that God did not remain invisible in heaven, but came down to earth and became man. To set up a nativity scene is to celebrate the closeness of God, to rediscover that God is real, concrete; He is humble Love that came down to us. #Nativityscene'",5854,29759
1208733927726338048,2019-12-22 13:00:00,"b'In three days\xe2\x80\x99 time it will be #Christmas and my thoughts go especially to families, who are reunited in these festive days. May Holy Christmas be a fraternal time for everyone, one of growth in the faith and of actions of solidarity toward those who are in need.'",5982,30693
1208718831356653568,2019-12-22 12:00:00,"b'The Gospel of the Day (Mt 1, 18-24) guides us towards Christmas through Joseph\xe2\x80\x99s experience. His example helps us to listen to the coming Jesus, who asks us to include Him in our plans and in our choices. #GospelOfToday'",2555,14138
1208363990843187200,2019-12-21 12:30:00,b'We need always to let ourselves be renewed by the smile of the Baby Jesus. Let His disarming goodness purify us from the waste that often encrusts our hearts.',3889,21825
1208356442140364801,2019-12-21 12:00:00,"b""Jesus is the smile of God. He came to reveal to us the love and goodness of our heavenly Father. We need God's smile to strip us of our false certainties, and to bring us back to enjoying simplicity and gratuitousness.""",5917,32378
1208059738912632832,2019-12-20 16:21:01,"b'Trust in dialogue between individuals and between nations, in multilateralism, in the role of the international organizations, and in diplomacy as an instrument for appreciation and understanding, is indispensable for the building of a peaceful world. https://t.co/fyonLUPsiA'",2449,12407
1208002426760040448,2019-12-20 12:33:16,"b'Let us give thanks for all the good there is in the world, for the many people who dedicate themselves freely, for those who spend their lives in service, to build a more humane and just society. We know: alone we cannot save ourselves. @antonioguterres https://t.co/bOoWk1k2z1'",3133,15148
1207953250625970177,2019-12-20 09:17:52,"b'I decided to display this life jacket,""crucified"",to remind everyone of the essential commitment to save every human life, because the life of every person is precious in the eyes of God. The Lord will hold us to account for this at the moment of judgment. https://t.co/liDMTq73cU https://t.co/0qFoUOpKwi'",4399,23422
1207619512041906176,2019-12-19 11:11:42,"b'In these days before #Christmas we praise the Lord for the gratuitousness of salvation, for the gratuitousness of life, for everything he gives us for free. Everything is grace. #HomilySantaMarta'",4668,24407
1207276827082772480,2019-12-18 12:30:00,b'I thank those people everywhere who have sent me their congratulations and good wishes for my fiftieth ordination anniversary and for my birthday. I thank you in a particular way for the gift of your prayers.',3668,33272
1207246627431280640,2019-12-18 10:30:00,"b'Our response to the challenges posed by contemporary migration can be summed up in four verbs: welcome, protect, promote and integrate.  If we put them into practice, we will help build the city of God and man. #InternationalMigrantsDay https://t.co/L2psLIrBoC'",2587,12425
1206914438978080768,2019-12-17 12:30:00,"b'Every conversion comes from a previous experience of mercy, from God\xe2\x80\x99s tenderness that captures the heart.'",3850,21861
1206561001648381953,2019-12-16 13:05:34,"b""There are two attitudes typical of lukewarm Christians: putting God in a corner - either you do this for me or I won't go to Church anymore - and washing our hands of those in need. Let us get rid of these attitudes to make space for the Lord who is coming. #HomilySantaMarta""",4930,25983
1206189663796510720,2019-12-15 12:30:00,"b'May the Virgin Mary help us so that, as we approach #Christmas, we do not allow ourselves to be distracted by external things, but make room in our hearts for the One who has already come and wants to come again to heal our illnesses and to give us his joy.'",6793,35076
